year,age,maritl,race,education,jobclass,health_ins,wage
2004,31,5. Separated,1. White,3. Some College,1. Industrial,1. Yes,94.0727147457
2004,40,2. Married,1. White,3. Some College,1. Industrial,1. Yes,120.5894365304
2007,36,2. Married,1. White,3. Some College,2. Information,1. Yes,125.5254984338
2004,52,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,99.6894636985
2003,40,2. Married,1. White,2. HS Grad,2. Information,1. Yes,112.6488963421
2004,21,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,84.045957654
2007,39,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,198.3502904644
2008,48,4. Divorced,1. White,5. Advanced Degree,2. Information,1. Yes,143.1349408111
2009,37,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2004,25,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,54.5981500331
2006,50,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,153.457515309
2008,26,1. Never Married,1. White,4. College Grad,2. Information,2. No,99.6894636985
2003,56,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,87.9810327856
2007,57,4. Divorced,1. White,5. Advanced Degree,1. Industrial,1. Yes,87.9810327856
2005,26,1. Never Married,3. Asian,4. College Grad,1. Industrial,1. Yes,114.0225803786
2009,43,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,36.6737041961
2006,36,2. Married,1. White,4. College Grad,2. Information,1. Yes,89.8800467811
2004,45,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,154.6852929956
2004,35,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,99.6894636985
2003,22,1. Never Married,1. White,3. Some College,2. Information,2. No,81.2832532843
2005,39,2. Married,1. White,3. Some College,1. Industrial,1. Yes,128.6804882206
2006,24,1. Never Married,3. Asian,2. HS Grad,1. Industrial,2. No,66.2294082944
2005,54,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,86.6951548289
2003,40,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,73.7757432747
2004,40,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,145.8051633746
2006,51,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,153.457515309
2003,54,2. Married,1. White,3. Some College,2. Information,1. Yes,72.4793162971
2003,34,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,72.1504556816
2007,49,2. Married,1. White,2. HS Grad,2. Information,1. Yes,94.0727147457
2004,33,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,101.402052303
2008,29,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,87.9810327856
2007,44,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,160.6424754083
2009,55,5. Separated,1. White,2. HS Grad,1. Industrial,1. Yes,90.4819133566
2003,52,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,191.5736835484
2008,56,2. Married,3. Asian,4. College Grad,1. Industrial,1. Yes,276.7784133212
2003,35,2. Married,1. White,3. Some College,1. Industrial,1. Yes,116.7071545591
2009,31,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,101.8243520757
2007,53,2. Married,1. White,3. Some College,1. Industrial,1. Yes,118.8843593399
2005,43,2. Married,1. White,2. HS Grad,2. Information,1. Yes,109.8339856422
2007,37,2. Married,2. Black,2. HS Grad,2. Information,1. Yes,70.8150386168
2007,31,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,176.9896504899
2009,43,2. Married,1. White,1. < HS Grad,2. Information,2. No,126.3238807098
2006,25,2. Married,2. Black,2. HS Grad,1. Industrial,2. No,99.6894636985
2006,42,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,85.383940379
2007,41,4. Divorced,1. White,1. < HS Grad,2. Information,1. Yes,97.4932940454
2006,54,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,82.6796372966
2008,31,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,94.0727147457
2003,58,2. Married,1. White,4. College Grad,2. Information,2. No,32.3664131749
2008,36,4. Divorced,1. White,2. HS Grad,2. Information,2. No,56.9055391447
2009,50,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,157.7005277257
2004,50,2. Married,1. White,2. HS Grad,2. Information,1. Yes,143.1349408111
2005,45,2. Married,1. White,3. Some College,2. Information,2. No,130.9821773775
2006,51,2. Married,1. White,3. Some College,2. Information,2. No,99.5919888163
2006,34,2. Married,1. White,2. HS Grad,2. Information,1. Yes,82.6796372966
2007,23,2. Married,2. Black,3. Some College,2. Information,2. No,94.0727147457
2003,62,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,95.6888119067
2003,26,1. Never Married,2. Black,3. Some College,1. Industrial,2. No,118.8843593399
2009,48,2. Married,1. White,2. HS Grad,2. Information,1. Yes,102.8702469332
2006,56,2. Married,1. White,2. HS Grad,2. Information,2. No,86.6951548289
2009,46,4. Divorced,1. White,2. HS Grad,2. Information,1. Yes,143.6997101338
2004,27,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,114.4757132903
2008,52,2. Married,1. White,4. College Grad,2. Information,1. Yes,145.1436011769
2009,33,2. Married,1. White,3. Some College,2. Information,1. Yes,88.2986994723
2009,25,1. Never Married,1. White,1. < HS Grad,1. Industrial,1. Yes,69.0981838087
2003,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,128.6804882206
2004,42,2. Married,1. White,2. HS Grad,1. Industrial,2. No,91.6992261117
2003,60,4. Divorced,1. White,5. Advanced Degree,1. Industrial,1. Yes,153.457515309
2007,57,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,160.4097019623
2005,60,3. Widowed,2. Black,5. Advanced Degree,2. Information,1. Yes,92.8958447895
2009,40,2. Married,1. White,3. Some College,1. Industrial,1. Yes,97.4932940454
2006,28,1. Never Married,2. Black,2. HS Grad,1. Industrial,2. No,68.1119940653
2009,38,2. Married,1. White,4. College Grad,2. Information,1. Yes,145.1436011769
2009,61,2. Married,1. White,5. Advanced Degree,2. Information,2. No,176.9896504899
2009,30,2. Married,1. White,3. Some College,1. Industrial,1. Yes,105.9278107751
2007,25,1. Never Married,4. Other,1. < HS Grad,1. Industrial,2. No,73.7757432747
2004,54,2. Married,1. White,2. HS Grad,1. Industrial,2. No,94.0727147457
2004,58,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,118.8843593399
2004,35,2. Married,1. White,2. HS Grad,2. Information,1. Yes,94.6956951317
2004,41,5. Separated,1. White,4. College Grad,2. Information,1. Yes,87.9810327856
2005,43,2. Married,1. White,4. College Grad,1. Industrial,2. No,109.8339856422
2006,22,5. Separated,1. White,1. < HS Grad,1. Industrial,2. No,75.0431540174
2008,41,2. Married,2. Black,5. Advanced Degree,2. Information,1. Yes,123.0896998479
2006,26,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,66.9616443217
2003,66,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,92.8958447895
2003,56,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,130.9821773775
2008,26,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,105.9278107751
2004,35,2. Married,1. White,4. College Grad,1. Industrial,2. No,106.9218140912
2008,72,2. Married,2. Black,5. Advanced Degree,1. Industrial,2. No,87.9810327856
2007,44,2. Married,1. White,3. Some College,1. Industrial,1. Yes,134.7053751189
2004,52,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,114.4757132903
2005,,1. Never Married,2. Black,3. Some College,2. Information,2. No,73.7757432747
2009,55,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,103.1813269587
2007,53,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,281.7459705519
2008,21,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,29.3769761006
2004,35,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,118.8843593399
2003,52,4. Divorced,1. White,3. Some College,1. Industrial,2. No,22.9624006796
2005,38,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,176.9896504899
2006,63,2. Married,1. White,3. Some College,1. Industrial,1. Yes,134.7053751189
2004,23,1. Never Married,1. White,1. < HS Grad,1. Industrial,2. No,72.1504556816
2003,44,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,143.1349408111
2007,44,2. Married,1. White,2. HS Grad,1. Industrial,2. No,59.0970640816
2003,33,1. Never Married,3. Asian,2. HS Grad,1. Industrial,1. Yes,99.2552868269
2008,45,2. Married,1. White,4. College Grad,2. Information,1. Yes,176.9896504899
,37,2. Married,1. White,2. HS Grad,2. Information,1. Yes,169.0735400494
2006,52,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,73.7757432747
2005,61,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,136.1577108372
2007,51,2. Married,1. White,4. College Grad,1. Industrial,2. No,118.8843593399
2005,,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,277.601417511
2004,54,2. Married,1. White,2. HS Grad,2. Information,1. Yes,141.7751723332
2003,28,2. Married,,2. HS Grad,1. Industrial,1. Yes,136.8763676352
2009,41,2. Married,1. White,3. Some College,2. Information,1. Yes,109.8339856422
2005,56,2. Married,3. Asian,5. Advanced Degree,1. Industrial,2. No,56.4538649754
2007,63,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,109.8339856422
2009,61,2. Married,1. White,3. Some College,1. Industrial,1. Yes,160.6424754083
2009,45,1. Never Married,2. Black,2. HS Grad,1. Industrial,1. Yes,82.6796372966
2004,46,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,54.5981500331
2008,43,2. Married,1. White,3. Some College,2. Information,2. No,134.7053751189
2004,56,2. Married,1. White,2. HS Grad,1. Industrial,2. No,105.7676396228
2005,40,2. Married,3. Asian,5. Advanced Degree,1. Industrial,1. Yes,163.5158639762
2004,46,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,101.8243520757
2005,56,4. Divorced,2. Black,3. Some College,2. Information,1. Yes,75.355679318
2003,31,2. Married,1. White,3. Some College,2. Information,1. Yes,75.355679318
2007,52,2. Married,1. White,3. Some College,2. Information,1. Yes,91.093218469
2008,71,2. Married,1. White,3. Some College,1. Industrial,1. Yes,101.8243520757
2005,30,2. Married,1. White,3. Some College,2. Information,1. Yes,103.9024706032
2009,43,1. Never Married,2. Black,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2004,48,2. Married,2. Black,5. Advanced Degree,2. Information,2. No,85.383940379
2007,48,2. Married,3. Asian,2. HS Grad,1. Industrial,2. No,95.6888119067
2007,56,1. Never Married,1. White,5. Advanced Degree,2. Information,2. No,154.0729972063
2004,27,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,65.1108537153
2005,37,2. Married,1. White,1. < HS Grad,,2. No,73.7757432747
2009,35,2. Married,1. White,3. Some College,1. Industrial,1. Yes,116.2653240625
2005,54,2. Married,1. White,3. Some College,2. Information,1. Yes,118.8843593399
2003,80,2. Married,1. White,2. HS Grad,1. Industrial,2. No,82.6796372966
2008,25,1. Never Married,1. White,4. College Grad,2. Information,2. No,49.5553381215
2003,57,2. Married,1. White,4. College Grad,2. Information,1. Yes,268.2662920126
,50,2. Married,1. White,2. HS Grad,2. Information,1. Yes,81.2832532843
2003,22,1. Never Married,1. White,4. College Grad,1. Industrial,1. Yes,
2003,56,2. Married,1. White,1. < HS Grad,2. Information,1. Yes,85.383940379
2009,46,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,104.9215065337
2007,45,2. Married,1. White,4. College Grad,2. Information,1. Yes,130.983694295
2005,50,2. Married,1. White,3. Some College,2. Information,1. Yes,114.4757132903
2008,69,2. Married,3. Asian,5. Advanced Degree,2. Information,1. Yes,148.4131591026
2005,49,2. Married,1. White,3. Some College,1. Industrial,1. Yes,92.8958447895
2009,26,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,105.9278107751
2008,28,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,126.3238807098
2003,32,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,66.9616443217
2007,38,2. Married,2. Black,4. College Grad,2. Information,1. Yes,141.7751723332
2003,22,1. Never Married,1. White,2. HS Grad,2. Information,1. Yes,68.3956538035
2006,37,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,180.7799522299
2006,31,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,81.2832532843
2004,39,2. Married,2. Black,1. < HS Grad,1. Industrial,2. No,73.7757432747
2006,47,4. Divorced,1. White,4. College Grad,2. Information,1. Yes,174.4028760123
2008,66,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,276.7784133212
2009,20,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,64.3510245723
2003,50,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,104.9215065337
2003,25,1. Never Married,1. White,1. < HS Grad,2. Information,1. Yes,79.8549003093
2008,44,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,79.8549003093
2008,33,2. Married,1. White,3. Some College,2. Information,1. Yes,87.9810327856
2004,54,2. Married,1. White,4. College Grad,2. Information,2. No,200.5432623247
2007,33,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,139.7030715277
2009,49,1. Never Married,1. White,3. Some College,2. Information,2. No,82.7417541674
2004,37,2. Married,1. White,5. Advanced Degree,2. Information,2. No,97.4932940454
2003,37,2. Married,1. White,4. College Grad,2. Information,1. Yes,200.5432623247
2007,33,2. Married,1. White,3. Some College,2. Information,2. No,106.9218140912
2008,34,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,114.4757132903
2007,56,2. Married,1. White,2. HS Grad,1. Industrial,2. No,99.6916283971
2007,25,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,87.9810327856
2003,45,1. Never Married,1. White,5. Advanced Degree,2. Information,1. Yes,140.3982001619
2005,63,2. Married,1. White,2. HS Grad,2. Information,1. Yes,136.3039975621
2003,39,2. Married,1. White,3. Some College,1. Industrial,1. Yes,145.1436011769
2009,47,4. Divorced,1. White,4. College Grad,1. Industrial,1. Yes,144.4780876654
2009,55,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,75.355679318
2007,56,2. Married,3. Asian,4. College Grad,2. Information,1. Yes,125.123815722
,59,2. Married,1. White,3. Some College,2. Information,1. Yes,139.0034080595
2005,80,1. Never Married,1. White,2. HS Grad,2. Information,2. No,87.9810327856
2008,24,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,87.9810327856
2007,54,2. Married,1. White,3. Some College,1. Industrial,1. Yes,148.4131591026
2005,42,2. Married,1. White,2. HS Grad,1. Industrial,2. No,109.8339856422
2008,39,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,143.1349408111
2003,27,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,66.2294082944
2009,37,,1. White,4. College Grad,2. Information,1. Yes,104.9215065337
2007,40,2. Married,1. White,4. College Grad,2. Information,2. No,160.6424754083
2005,50,2. Married,4. Other,1. < HS Grad,2. Information,2. No,111.720849361
2003,42,2. Married,1. White,3. Some College,2. Information,1. Yes,96.3706528322
2005,53,2. Married,1. White,2. HS Grad,2. Information,2. No,75.0431540174
2004,42,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,65.1108537153
2008,54,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,163.5158639762
2006,36,4. Divorced,1. White,3. Some College,1. Industrial,1. Yes,107.9039238669
2009,31,2. Married,2. Black,3. Some College,2. Information,1. Yes,133.2323508266
2004,43,2. Married,1. White,4. College Grad,2. Information,1. Yes,171.7651326275
2005,25,1. Never Married,2. Black,3. Some College,2. Information,1. Yes,94.0727147457
2008,48,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,115.3750385564
2003,24,1. Never Married,1. White,3. Some College,1. Industrial,2. No,63.1888610037
2008,38,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,94.0727147457
2004,40,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,176.9896504899
2004,44,2. Married,,2. HS Grad,1. Industrial,1. Yes,94.0727147457
2003,41,2. Married,,3. Some College,1. Industrial,2. No,127.1157438122
2005,35,4. Divorced,1. White,4. College Grad,1. Industrial,1. Yes,98.5993438604
2003,25,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,
2005,39,2. Married,1. White,2. HS Grad,2. Information,1. Yes,87.9810327856
2008,36,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,87.9823064295
2003,36,2. Married,1. White,4. College Grad,2. Information,1. Yes,148.4131591026
2005,22,1. Never Married,1. White,3. Some College,1. Industrial,2. No,63.1888610037
2006,46,4. Divorced,1. White,3. Some College,2. Information,1. Yes,144.4780876654
2005,50,2. Married,1. White,2. HS Grad,2. Information,1. Yes,111.720849361
2009,33,1. Never Married,1. White,3. Some College,1. Industrial,2. No,79.8549003093
2007,56,2. Married,1. White,4. College Grad,2. Information,1. Yes,142.4571698851
2009,36,4. Divorced,1. White,2. HS Grad,1. Industrial,2. No,86.910327739
2005,59,4. Divorced,1. White,1. < HS Grad,1. Industrial,1. Yes,54.1212053952
2005,52,2. Married,2. Black,2. HS Grad,2. Information,2. No,52.1561711699
2007,39,2. Married,1. White,4. College Grad,2. Information,1. Yes,163.5158639762
2007,48,1. Never Married,3. Asian,2. HS Grad,1. Industrial,2. No,65.1108537153
2005,30,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,117.1468169148
2009,38,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,180.7799522299
2003,42,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,109.7060518127
2007,46,2. Married,2. Black,3. Some College,2. Information,1. Yes,
2008,29,2. Married,2. Black,4. College Grad,2. Information,1. Yes,81.2832532843
2003,33,2. Married,1. White,4. College Grad,2. Information,1. Yes,123.0896998479
2008,49,2. Married,1. White,2. HS Grad,2. Information,1. Yes,118.8843593399
,32,2. Married,,3. Some College,1. Industrial,2. No,
2004,35,2. Married,1. White,1. < HS Grad,1. Industrial,1. Yes,109.8339856422
2005,57,2. Married,1. White,5. Advanced Degree,2. Information,2. No,200.5432623247
2005,36,2. Married,2. Black,4. College Grad,1. Industrial,1. Yes,127.1157438122
2003,53,2. Married,1. White,4. College Grad,1. Industrial,1. Yes,126.9578856772
2004,44,2. Married,1. White,4. College Grad,2. Information,2. No,160.6424754083
2007,49,1. Never Married,1. White,2. HS Grad,2. Information,2. No,57.9709421773
2009,50,1. Never Married,2. Black,5. Advanced Degree,2. Information,1. Yes,109.8339856422
2003,61,2. Married,1. White,3. Some College,2. Information,1. Yes,99.6894636985
2003,23,1. Never Married,1. White,4. College Grad,1. Industrial,2. No,76.8936025176
2003,60,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,104.9215065337
2007,45,2. Married,1. White,3. Some College,1. Industrial,1. Yes,114.4757132903
2003,43,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,70.9095858697
2008,37,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,70.4760196469
2003,36,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,99.6894636985
2004,42,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,160.6424754083
2008,24,1. Never Married,1. White,2. HS Grad,1. Industrial,2. No,66.2330957333
2006,35,5. Separated,1. White,3. Some College,2. Information,2. No,81.2832532843
2003,27,1. Never Married,2. Black,2. HS Grad,2. Information,2. No,23.2747040517
2005,30,2. Married,1. White,4. College Grad,2. Information,1. Yes,104.9215065337
2009,24,2. Married,1. White,1. < HS Grad,1. Industrial,2. No,148.4131591026
2009,45,2. Married,1. White,3. Some College,1. Industrial,2. No,166.3249412339
2009,55,2. Married,1. White,2. HS Grad,2. Information,1. Yes,107.9039238669
2005,42,2. Married,1. White,2. HS Grad,2. Information,1. Yes,114.4757132903
2008,28,2. Married,1. White,2. HS Grad,1. Industrial,2. No,101.8243520757
2003,51,2. Married,1. White,2. HS Grad,1. Industrial,1. Yes,98.5993438604
2009,32,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,123.0896998479
2007,43,4. Divorced,1. White,1. < HS Grad,2. Information,2. No,100.099662492
2008,37,1. Never Married,1. White,3. Some College,2. Information,1. Yes,118.8843593399
2003,54,2. Married,1. White,5. Advanced Degree,2. Information,2. No,148.4131591026
2006,54,5. Separated,1. White,5. Advanced Degree,2. Information,1. Yes,277.7994802057
2004,33,1. Never Married,3. Asian,4. College Grad,2. Information,1. Yes,86.6951548289
2009,41,2. Married,3. Asian,4. College Grad,2. Information,2. No,94.0727147457
2006,68,4. Divorced,1. White,2. HS Grad,2. Information,1. Yes,87.9810327856
2009,47,2. Married,1. White,3. Some College,2. Information,1. Yes,151.5914842398
2005,53,2. Married,1. White,2. HS Grad,2. Information,1. Yes,97.4932940454
2006,58,2. Married,1. White,1. < HS Grad,,1. Yes,
2003,38,1. Never Married,1. White,4. College Grad,2. Information,1. Yes,118.01975334
2004,32,2. Married,1. White,3. Some College,1. Industrial,2. No,99.6894636985
2008,44,2. Married,1. White,5. Advanced Degree,2. Information,1. Yes,136.1577108372
2005,44,2. Married,2. Black,3. Some College,2. Information,1. Yes,85.383940379
2003,58,2. Married,1. White,5. Advanced Degree,1. Industrial,1. Yes,120.5894365304
2007,46,2. Married,3. Asian,1. < HS Grad,1. Industrial,2. No,73.7757432747
2003,46,2. Married,1. White,2. HS Grad,1. Industrial,2. No,141.7751723332
2008,33,2. Married,1. White,2. HS Grad,1. Industrial,2. No,65.1146238778
2008,52,2. Married,1. White,2. HS Grad,2. Information,1. Yes,114.4757132903
2009,30,1. Never Married,1. White,2. HS Grad,1. Industrial,1. Yes,109.8339856422
2005,23,1. Never Married,1. White,3. Some College,1. Industrial,1. Yes,65.1108537153
2004,46,2. Married,1. White,2. HS Grad,1. Industrial,2. No,87.9810327856
2009,44,2. Married,1. White,2. HS Grad,2. Information,2. No,109.8339856422
