Review	Sentiment
"pazite na metalne delove! stare smo i dobre musterije, ocigledno zadovoljne hranom.
medaljoni u sosu od pecuraka su uvek bili jako dobri.
na zalost, poslednji put kada nam je stigla porcija, bila je ""zacinjena"" (i to ne odozgo, vec duboko umesana u sos) - metalnom municijom za heftalice!
municija se, srecom, ""samo"" zabila suprugu u nepce, te je nije progutao.
nakon inicijalnog soka, jako smo se obradovali - obicno porciju podelimo sa sincicem od 4 godine, koji ovog puta nije bio gladan! o tom scenatriju ne zelim ni da razmisljam.
a kada smo pozvali restoran i pokusali da menadzeru skrenemo paznju na opasnost, dobili smo ljutito i apsolutno odbijanje bilo kakve mogucnosti da se to desilo u njihovom lokalu (???), jer gospodin "" licno pregleda sve pre slanja""! kada smo izrazili sumnju da je municija sigurno slucajno nekako upala u hranu dok su papirne kese s obrocima zaheftavane pred slanje (dakle, ocigledno je heftalica, s municijom, u neposrednoj blizini hrane, u restoranu) - dobili smo, takodje ostro i determinisano, ubedjivanje da je metalni deo umesan u hranu - u nasoj kuci tj. da je ""sigurno to upalo kod vas, dok ste otvarali kesu""!! 
sto bi moglo da se desi jedino ako je deo prosao kroz kesu, pa kroz  stiroporsku kutiju u kesi, pa kroz pola porcije. a nije. municija sa kese je i dalje bila na nasoj kesi, mi slucajno nemamo heftalicu u kuci.
ko radi taj i gresi, te razumemo da se nekad dese ovakve situacije. ali ovakvo ponasanje je zaista neprihvatljivo.
pozvali smo restoran da bismo upozorili osoblje tj. da bi osigurali da se ovako nesto ne ponovi, jer se radi o potencijalno vrlo opasnoj stvari. 
docekalo nas je potpuno odbijanje bilo kakve odgovornosti, a onda i ubedjivanje da smo mi krivi!!!
sto je mnogo, mnogo je.
ubedjivanje u nasu krivicu smo ""presekli"" jos jednom molbom da, ""nama za ljubav"", samo obrate malo vise paznje i sprece ovakve greske... na sta smo dobili ""da da, al` nije to kod nas...dobicete gratis porciju..dovidjenja..""
gratis porciju cega?
ko je trazio porciju? i to gratis?
proslo je dosta vremena od tada,  ja bih licno bila zadovoljna jednim pozivom izvinjenja, onako, ljudski.
jedina gratis porcija koja nam je stigla je ta gratis porcija uvreda."	0
komsinica ukus burgera i onion ringsa je izvrstan. svaki put kada sam narucila pomfrit stizao je hladan i cekam uvek duze od recenog vremena, iako zivim par ulica dalje od njih	0
"odlicna pica narucio sam picu sa kulenom i bila je odlicna. mozda malo vise masna nego sto bi trebala ali ukus opravdava. sigurno cu ponoviti narudzbinu u buducnosti.

takodje sam probao slatke palacinke sa nutelom i plazmom, palacinka je bila ok ali je bilo vrlo malo plazme i nutele."	1
bolonjeze standardno dobro...	1
"solidno, ali hladno iako je narudzbina trebalo da stigne za 60 minuta, stigla je za 20 minuta, a s obzirom na udaljenost lokala od mesta gde je porudzbina donesena, i da je su buritosi bili gotovo ledeni, govori mi samo da je ta hrana verovatno vec stajala duze vreme...
sama hrana je relativno ukusna, ali nije vredno cene da kvalitet i uslugu koju pruzaju."	0
"cheese i piletina piletina fantasticna, socna i meka. svaka cast na pacu. cheesburger isti kao iz mcdonaldsa, nikakav i mali. pomfrit taman kako treba.
dostava pre vremena, sve zelje ispostovane.
malo popravite kvalitet neke hrane, mc i nije neki sinonim za kvalitet, sta god klinci danas trazili, i druzimo se i dalje, svakako."	1
"leonardo pizza vrhunska pizza, bez preterivanja.
bogata i ukusna.
narucena u 2 nocu, stigla posle 30 minuta (15 minuta pre roka) vruca. sve pohvale!"	1
salata trazila sam salatu bez ikakvog sirceta, ali je ipak stigla sa sircetom. molim vas da uvedete opciju da se odabere bez dodataka, jer se desava da se napomena ne procita.	1
"ok skroz pristojna klopa, veoma brza dostava, veliki izbor razlicitih jela, uvek sveze, toplo, a uz to i super cene.
sveukupno, vrlo pozitivno."	1
"sjajna klopa! narucili:

- cufte sa pireom
- spanac sa fasiranim sniclama
- palacinku
- knedle sa sljivama


stiglo 10 minuta pre vremena, sve vruce! spanac je super, stize sa dve fasirane snicle srednje velicine. jako ukusno, plus se uz sve dobiju i dve mekane kiflice.

muz kaze da su i cufte bile super! 

slatkise jos nismo probali, jer sam bas bila zadovoljna ""glavnim jelom"" i htela sam odmah da ostavim dobar utisak.

pravo je osvezenje imati ovakvu ponudu po zaista povoljnim cenama u moru rostilja, pica i ""kineza""."	1
"ok narucili smo ""city pizzu"" u srednjoj velicini (na slici) i palacinku s nutelom.

pica je korektna. testo je ni tanko ni debelo, dobro ispeceno i nije natopljeno. sve zajedno je prilicno masno, slano i kaloricno, ali to se i ocekivalo s obzirom na pobrojane sastojke.

sve u svemu, ovo bi spadalo u uobicajenu srpsku kategoriju pica, koje, bar po nasem misljenju, uglavnom imaju gotovo iste sastojke i slican ukus. ali kad je covek gladan, sasvim prijaju!

palacinka je bila velika, sveza i meka; nutela je mozda bila tecnija no sto bi se ocekivalo, ali za tu cenu je ok.

dostava je bila fantasticno brza, a ni fiskalni racun nije izostao (sto vecina restorana po pravilu ""zaboravi"")."	1
gurmanska pica taman kako treba, odnos kvalitet-cena savrseni.	1
"prijatno iznenadjenje prvi put narucili i vise nego prijatno iznenadjeni!
porudzbina je stigla na vreme, sve vruce i sveze. 
porodicni rucak je veoma obilan i nista ne nedostaje.
1kg mesanog mesa koje je odlicno, bez zamerke (cevapi, pljeskavice, kobasice, ustipci, pilece belo), 4 somuna, kupus salata, luk, urnebes, ljutenica i 2 litre coke!
svaka cast i vidimo se uskoro!"	1
pileca supa super i ukusna pileca supa.	1
"yummy pizza really nice selection of pizzas and fast delivery. they did confuse our order but was an easy mistake, quattro formaggi turned into quattro stagioni. however, mistake was quickly rectified and a yummy new pizza arrived that did not have eggs all over it (i do not get how people can eat egg with pizza, but that is juts my taste :) ).

all in all, a really good pizza service that i would recommend."	1
odlicni! super kao i uvek! narucen veliki giros i palacinke eurokrem/plazma.	1
ukusno uvek toplo i ukusno veliki izbor dnevnih jela i povoljno.	1
super hrana topla, sveza i ukusna.	1
4 veoma lepa hrana, meni greskom nisu poslali pepsi koji takodje nisu ni naplatili, poslali su naknadno veoma brzo, pohvale	1
"izmena nisam dobila lepinju. i umesto oslica dobih soma.
druga porcija je ukusna."	0
odlicno kompletan utisak sve je odlicno	1
"prosek klopa je ok, nista specijalno.
da nije pisalo na pakovanju koje je piletina u slatko kiselom sosu a koje kraljevska piletina, ne bismo sami pogodili koje je koje. na slici je jedno od ta 2 jela, valjda kraljevska piletina.
dostava je prilicno kasnila, niko nije pozvao da javi da ce kasniti, niti je dostavljac bilo sta rekao kad je stigao, vec smo pomislili da nam klopa nece ni stici.
umesto pirinca s jajima, dobili smo pirinac sa povrcem i jajima.
sve u svemu, verovatno necemo vise narucivati odavde."	0
odlican 5! srpska pica u buenu je jedna od najboljih pica u gradu. ponekad se ceka malo duze, zbog potraznje, ali vredi svaki minut.	1
giros ovaj put malo razocarani girosom, meso jako prepeceno dakle tvrdo, i preslano, ranije uvek bili veoma zadovoljni... nadam se da ce i ova kritika dobiti prostor, da bi se poradilo na odrzanju kvaliteta!!	0
jeftino hrana je ok, mahom jeftina	0
vrlo zadovoljan prvi put narucio kod njih. king pizza odlicna. brzo isporuceno. sigurno cu ponoviti	1
"pregorela hrana i kasnjenje njeguska snicla dosla posle pola sata kasnjenja sa autenticnom aromom nagorelosti - blag gorak ukus. aromatizovani krompir takodje previse termicki obradjen, suv i neukusan.
hrana lose zapakovana, prosula se prilikom dostave.
dostava kasnila 30 minuta."	0
super! drugi put narucujemo srpsku picu. nismo hteli odmah da hvalimo, da proverimo bar jos jednom. pica je stigla topla posle pola sata, ljubazna gospodja nam je donela, a pica je bila super. nadev je ukusan , cini mi se da su sastojci bas kvalitetni, testo taman debelo koliko treba....zaista pica po meri. opet cemo naruciti, to je sigurno, samo da se ne  pokvare, posle toliko hvale ;)	1
odlichno pica je stigla na vreme, ukusna je bila, odlichna.	1
"vegetarijanska pica odlican ukus pice. dostava brza i cene vise nego pristupacne. 
pozitivno odusevljeni."	1
odlican ukus odlican ukus	1
hrana nije ni stigla receno je da ce proudzbina stici za 90 minuta. nakon 2h pozvali smo restoran gde nam je receno da je vozac na putu i da stize za par minuta, iako je pitanje bilo kada je vozac uopste krenuo, tu informaciju nismo ni dobilii,. nakon jos 30 minuta smo opet pozvali restoran, gde smo opet dobili informaciju da sigurno uskoro stize hrana. proslo je jos 30 minuta i niko se nije pojavio. ukoliko je guzva tolika recite ljudima da im necete isporuciti hranu, iskren odgovor znaci vise nego da cekate dostavu nakon ponoci. posle 3h 20 min, hrana nije stigla, sramotno je sto niste mogli jednostavno da kazete da nije ni poslato ili da ne mozete da isporucite.  kvalitet hrane nemamo kako da ocenimo jer je nismo dobili.	0
sasvim ok slika nema.. bili smo jako gladni :)	1
uvek se pozitivno iznenadim verovatno jos negde postoje jednako dobre bolonjeze, ali, dalje od city-ja ne mrdam.	1
"chicken obrok salata veliko je, malo tesko, za dve osobe ili za dva dana. 
prilicno je ukusno, ima mesa.

mada ima previse majoneza
moj savet je da kada porucite, im kazete da malo iskuliraju majonez."	1
"svarcvald palacinke dobre, lagane, lepo napunjene, ne previse slatke. preporuka.

palacinke su skuplje nego npr. u walt disney, ali je sopstvena dostava, pa izadje na isto."	1
pica malo sam vise ocekivao od pice i nisam odusevlje nekako je bila bezukusna i to mi se vec 2 puta desilo.	0
roma pica sam ukus prilicno bezlican. frulice sunke su jako debele. na molbu da mi dostave i fiskalni racun dobih racun, ali sa poreskom stopom od 0% lose.	0
nevidljivi pepsi drugi put ako narucim burger+pomfrit+pepsi ocekujem da to i posaljete. drugi put mi se desava da ne posaljete pepsi. -.-'	1
"isporuka uvek se kasni bar 5 min, a rokovi isporuke sve duzi.
90 minuta je neocekivano mnogo."	0
pileca muckalica i ribic u povrcu hrana je stigla pre naznacenog vremena, topla i veoma ukusna, prava domaca hrana!! porcije obilne!	1
super sve ubacite jos neko pice osim pepsija u ponudu	1
odlicno! sve je bilo dobro. brza dostava.	1
odlicna hrana super krilca i kobasice!	1
dobro sve dobro,super stiglo je na vreme,hrana odlicna	1
ostadosmo gladni u opisu pise da je velika porcija 900 grama, a dobili smo otprilike pola male porcije, bez povrca, koja nema ni 400 grama. zvali smo restoran da se zalimo, kazu da njihove redovne musterije znaju da uz po jelo na ide povrce. na donesi.com i sajtu peng kinga to nigde ne pise. ostadosmo gladni. sta bi tek bilo da nismo doplatili nudle i kikiriki? usput, nismo dobili ni fiskalni racun, vec nefiskalni isecak.	0
parmezan? ne bih rekla. cesto narucujem iz taze toplo i nastavicu, ali samo pomfrit.(vrhunski) . jednom sam narucila rizoto, dobila neku smlevenu porciju pirinca i nekog povrca, sira ni u tragovima. reko, mozda slucajno. naruci se rizoto drugi put, dobije se porcija opet pirinca i povrca, al ovog puta sa sirom u tragovima. ne razumem sto pise parmezan kao sastojak tog jela, kad je prava lutrija dobiti ga. takodje, mogli bi da opisu salate koje nude. ali ne samo da ih opisu, vec kad ih prave, stvarno da ubace sastojke koje navedu.	1
"da sadim bosilljak ne bih...... stigao mi je bosiljak sa girosom. narucio sam bosiljak kao jedan od zacina u svom girosu, ali ni u snu nisam mogao zamisliti da neko toliko zacina stavi, to su bili grumeni bosiljka i nista se drugo nije moglo sem njega osetiti. bacio sam ga .
upravo."	0
stvarno dobra pica... retko kad pojedem dobru picu ali ova je stvarno bila bas dobra!	1
lose restoran se nalazi na 15 minuta od mene, bez obbzira na to stavili su 75 min, stigli za sat i po, sa potpuno prosutim sosem po kesi i bez kineskih stapica koji su naruceni.	0
"savraeno kao i uvek! odlicna djepeto pizza! jos na popustu bila! 
samo tako nastavite!"	1
odlicno! njbolja pica!	1
usluga pereca rostilj moja narudzbina je trebala da stigne oko 19:20. kasne pola sata, a vreme dostave je oko 40 minuta. usluga je katastrofa. poslednji put poruceno ovde.	0
odlicna hrana,dobra usluga! ukusna hrana i brza dostava	1
punjena pljeskavica i punjeno belo punjena pljeskavica ispod proseka - fil los, tanka, a punjeno belo jako lose - meso kao da je od papira a fil nikakav. meso cak nije ni spojeno nego kao da su stavili dva manja dela odvojeno. kupus (prilog) suv i nikakav.	0
veliki peking hrana im je super,sveze,ukusno.	1
madjarica porodicna sve ok, dostava tacna u minut, pizza topla (napolju je 36 stepeni :) ), jedini se kecap prosuo po kutiji.	1
hedansa pizza fantasticno :3	1
"nevidjen bezobrazluk hrana je vrlo ukusna, pomfrit ok, cevapi odlicni, cheesecake fin, lepinja mi se doduse ne dopada, jer se radi pre o nekakvoj zemicki koja deluje ne bas sveze i podgrejano.
dostava kasnila dvadesetak minuta.
dostavljac prilicno fin.
ali ne radi se o tome. umesto fotografija hrane, saljem vam dva screenshot-a gde se lepo vidi iznos za naplatu (i ne pominje nigde doplata za dostavu) i gde se lepo vidi da restoran nudi besplatnu dostavu. dostava mi je naplacena 200 dinara. dostavljac sleze ramenima na pitanje otkud doplata. najradije bih vratila hranu i pozdravila se s dostavljacem, ali ako ste gladni i narucite hranu koja stize nakon sat i kusur vremena, obicno vam nije do toga da se svadjate i jurite drugi restoran i cekate hranu jos sat vremena. ovako su korisnici donesi.com lepo stavljeni pred svrsen cin. vidim, vec su se ljudi zalili. i dobili odgovor ""greskom vam je naplaceno, menadzment vam se izvinjava"". to je, u prevodu, pojeo vuk magarca. vrlo, vrlo lose, ruzno i neprofesionalno. dajte, lepo napisite ""restoran naplacuje dostavu"" pa da ljudi znaju sta da ocekuju, ovako je klasicna bezobrazna prevara. pozdrav za ekipu donesi.com, nadam se da je makar vama stalo da vam korisnici veruju, kad vec osoblje restorana nije zainteresovano za poverenje musterija."	0
od sjaja do ocaja... kao i sve u srbiji, kvalitet drasticno opada. od nekad sjajnog rizota, dobije se splacina na slici, koja vise lici na kacamak, pre mesec i kusur dana mi se desila ista ovakva porudzbina, pa sam mislio da se zbog vrucina neki sastojak pokvario, jer je sem izgleda (istovetnog), rizoto bio nejestivo kiseo. ljudi su zaista doneli drugo jelo, medjutim sada vidim da je ovo konstanta, tako da bi to bilo to sto se mene tice...	0
pizza vezuvio hrana je odlicna. veoma povoljna cena. dostava je brza. jedina zamerka je sto nema puno sira. :)	1
"sve u redu poruceno:

1 x pileci file sa prilogom
izbor priloga: sargarepa
1 x sopska salata
1 x pene pesto djenoveze

pasta je ooooodlicna. sopska takodje. i velicine porcija su skroz pristojne za te cene. pileci file i sargarepa su bili ok (sta se, uostalom, spektakularno moze ocekivati od pileceg filea i barene sargarepe).

dostava bila u okviru prijavljenog vremena, sve je bilo toplo (pasta cak vruca). 

sve pohvale."	1
"slabo.. sve je u redu osim kvaliteta hrane.
hrana bez ili sa jako malo zacina, masno, vodenastno.. skroz neukusno."	0
pica 4 u 1 bez zamerke, socno, ukusno, brza dostava	1
"5* po drug put narucujem , 
grilovano povrce, pire krompir, pileci file, kupus salata... sve odlicno, sveze i ukusno
takodje i
cezar salata, i pene primavera.
hleb tj lepinja koja se dobije je savrsena.
opet cu naruciti. 
def. jedni od najboljih sa donesi.com"	1
"nezadovoljan zdravo!

evo mog utiska o jelu iz bg burgera.

meso u ""fresh burgeru"", koji sam narucio, se bas ne moze nazvati mesom. ja bih pre rekao da je u pitanju neka bezukusna nedefinisana heterogena masa. 
sto se tice ""americkih palacinki"", jednostavno pogledajte fotografiju i sve ce vam biti jasno!

malo vise postovanja prema kupcima.

pozdrav!"	0
"mesani giros i veliki pomfrit ovaj put sam razocaran dobijenim.
velika porcija pomfrita je ravna maloj a meso je poluzivo.
mislim da cemo malo da pauziramo grilos i ja posle nekih 25 porudzbina...
i da, dostava je poskupela za 20din a nigde nije izmenjeno!!!!!!!!!!!!!!!!!!!"	0
pileci giros da, dostava je 150 dinara. giros je dobar, mada znatno bolji kada se uzima na licu mesta. isporuka kasnila 15 minuta.	0
nije lose italijanski minjoni veoma dobri. stigli su brzo, topli. bilo bi dobro da uz hranu isporucuju salvete i plasticni pribor.	1
konstantno dobri jedosmo neki pilav, prilicno dobro.	1
zagorelo nista specijalno	0
hedansa i giros pica stigla vrela i jako ukusna, bogata sastojcima :-)	1
"gulas + slana palacinka hrana je stigla brzo, topla, porcije su bile ok velicine, hrana je ukusna, cene sasvim ok.

preporucujem."	1
kobasica, pomfrit i sopska salata i pomfrit ekstra, ali porcija kobasica koja kosta blizu 300din,da se sastoji iz jedne kobasice i da, izgleda ovako, razocarenje.. ukus ok	0
naplacen dodatak, nije dostavljen narucio kapricozu sa pilecom salatom, pileca salata naplacena, nema je na pici.	0
pizza i pomfrit drugi put sam narucio kod njih, sjajni su utisci. stigla je hrana pre vremena, dostavljac ljubazan, sve preporuke.	1
"onako nije lose, mada nije ni nista posebno. par cudnih stvari:
1) jelovnik im je previse cudan. pomfrita nema, mozete samo da ga narucite u okviru menija. a meni ne postoji za burgere itd vec samp za neke cufte i hrskavu piletinu (???)
2) pazite za chicken burger. u njemu nije pohovana piletina, kako to obicno biva u chicken burgerima, vec belo meso"	0
komentar ako zatreba hrana je brzo stigla, sve je bilo toplo, zadovoljan izborom i vredi naruciti kad vam se nesto domace jede ali ne ocekujte ukus iz babine kuhinje.	1
"pica madjarica sve pohvale. 
samo da je jeftinije svaki dan bi se narucivalo od vas"	1
fantasticna usluga prezadovoljan narudzbinama, super klopa jos bolje osoblje.	1
extra extra brzo i super ukusno	1
quattro formaggi (50 cm) odlicna pica, brza dostava. moja preporuka.	1
odlicno odlicna pica i palacinke, a nije ni skupo. preporucujem	1
zemo 45min. dostava..	1
"taljatele s prusutom + palacinke s nutelom/plazmom stiglo na vrijeme, u minut.

taljatele s prsutom su ok, doduse za 20% nizu cijenu koja je trenutno aktuelna, inace mozda i ne bi bilo vrijedno para.

palacinke su bile ukusne, tijesto meko, sve taman, jedino sto su bile spakovane u malu a duboku plastiku, i s 2 kugle slaga... pa je bio problem kako ih jesti a da se ne napravi totalni haos. kontao sam da ih istresem u blender pa pojedem kasikom :)

sve u svemu - ok, porucicu opet nesto drugo ;)"	1
nikad vise narucivao sam do sada 3 puta hranu kod vas ali posle veceras vise nikad zasto? -pre sat vremena sam narucio 3 burgera i 2 palacinke i proslo je i vise od sat vremena i niko se nije ni javio niti pojavio.....	0
pirinac, pirinac... u burito ne ide pirinac, a svakako ne u ovoj kolicini. nadam se da cete tu nesto promeniti, a do tada ne nameravam da porucujem ponovo.	0
extra pise 45min, stigla za 20, extra stvar. pizza stigla vrela, solidnog ukusa. iskreno ocekivao malo bolju stvar taj rub punjen sirom, ali za te pare extra.	1
socijalan mek nema sta objasnjavati ovde bukvalno to sto sam naslov kaze, samo sto mogu da se nadejem. jedina zamerka jeste mozda cena da je malo visoka sa obzirom sta se dobija u njihovim akcijama. ako hocete mek a niste pri parama, ovo vam je najbolji izbor	1
sve ok pileci file mekan i socan ..sopska salata sveza i hladna..stigli su na vreme  i sve je bilo ok	1
onako sve je brzo stiglo-toplo i ok, vrlo ukusno. samo su zaboravili da spakuju dve coca cole, ali nisu zaboravili da naplate (sa sve racunom). kontakt telefona na donesi.com nema.	0
madjarica pizza je ekstra, samo rub nije bio punjen, iako sam doplatio, pa na to obratite paznju, samo zato cetvorka	1
giros sendvic odlicno	1
odicna kuvana jela usluga je zaista dobra. hrana je odlicna, mada bih mozda savetovao raznovrsnija kuvana jela. cene su vise nego pristupacne. moja preporuka.	1
"vrlo dobra pizza pizza je bila odlicna, sjajna.. palacinka..hm, nije se stedelo na testu, ali zato jeste na marmeladi..
pizzu slobodno narucite, a za palacinke.. nisam siguran.."	1
nikad vise zao  mi je sto ce prvi komentar biti katastrofa ali ovo je jako jadno. dostava kasnila 1h. porucili smo konoba akustik za 2 osobe gde je navedeno da pripadaju dve paprike punjene sirom. njih nismo dobili ali smo zato dobili 3 cevapa ukupno (valjda svakom po 1,5kom), vesalice kao da je neko vec jeo a u cevapima ima neke kosti nesamlevene. kontaktirao sam restoran i rekli su mi izvini. jenom recju uzas i nikad vise.	0
hladno za cenu ako restoran nema sopstvenu dostavu, bolje da ne koristi kurire. stiglo je skroz hladno. hrana je inace ok...	0
"spanski prsti i medaljoni u pecurkama kolege od muza su danas narucili iz fetish food-a ,  po njegovoj preporuci i nahvalili spanske prste,  pa smo i mi resili da ih probamo! bili sjajni,  kao i medaljoni s pecurkama. uz svaku porciju i pomfrit i dve super mekane, tople kiflice.  

samo mala molba - onaj kolac sto smo dobili gratis,  ukljucite ga u meni,  bio je divan,  al nije dugo trajao :) 

sve u svemu,  bice ovo dugo i kvalitetno prijateljstvo...  :)"	1
sramota porudzbina nije stigla.	0
pene i makarone stiglo pre vremena, toplo. pene sa brokolijem i piletinom su bile ukusne i sa dosta piletine, makarone takodje.	1
lepa hrana ali... narucio sam cevape sa kajmakom i pomfrit a dobio sam samo cevape. naravno naplaceno je i ono sto nije dostavljeno.	0
"pola - pola za sada drugi put narucujemo iz ovog restorana.narucili smo porodicnu picu iz restorana -madjarica (50cm).
1.zbog akcije je bio 599 rsd to je super
2.pica je toplo stigao i bio je fino to isto super
ali,
3.dostava je kasnila vise od pola sata
4.kecap nije stigao
5.kurir je otisao bez reci,nije ni objasnio hrana zasto je kasnio ,ni zasto fali kecap :("	1
ocena dva sendvica - u jedan dobro stavljeno, u drugi zbog nepaznje nije.	0
svaka cast od 45 min stigli za 30, pica topla, ukusna.	1
"problem sa placanjem american burger, cheeseburger, pomfrit i onion rings standardno ukusni i stigli lepo upakovani i vruci gotovo petnaest minuta pre naznacenog roka od 60 minuta. posto smo do sada cesto narucivali iz ovog restorana, pohvaljujemo ujedancen kvalitet. medjutim, imali smo neprijatnost kod isporuke. naime, dostavljac je, tvrdeci da racun nije placen na osnovu informacije koju je, kazao je, dobio iz restorana burger store,  trazio da izvrsi naplatu u kesu ""jer racun nije placen"", iako je vec bio uredno izmiren platnom karticom  jos pre nego sto je narudzbina potvrdjena od strane restorana (potvrda oo izvrsenom placanju od donesi.com na mejlu + sms od banke o koriscenju kartice). posto smo odbili da jos jednom platimo vec naplacenu hranu, i trazili da kontaktira restoran, na kraju je pozivom utvrdjeno da je doslo do izvesnog previda kod njih jer su preoptereceni."	0
i nije nesto obicna pljeskavica od 100gr koja nema veze sa burgerom...	0
moj novi nocni favorit! supersonicnom brzinom ljubazni dostavljac mi je doneo vrelu pepperoni picu i palacinku sa (pravom) nutelom, zaista sam prezadovoljan iako je pica mozda malo premasna za moj ukus, ali to je verovatno zbog kobasice koju koriste (odlicna je). pica je taman kolicinski za mene (uzeo sam malu), a palacinka preogromna ali vrhunskog kvaliteta, taman za sutra. vidi se da je sve sveze spremljeno iako je 2 ujutru! narucujem ponovo, sledeci put nesto novo! posto je nocu izbor restorana poprilicno tanak, ovo je ubedljivo najbolji restoran. preporuka!	1
"* rostilj je fenomenalan, cevapi, ustipci, a krilca prste da polizes :) 
dostava pre vremena."	1
prvo porucivanje porudzbina je stigla 10ak minuta pre vremena, dostavljac je bio ljubazan. lignje su bile polu pecene. i gneralno je sve bilo mlako. izbor hrane je ogroman, cene su ok.	1
ocenjivanje pronto-a u prontu sam porucivala i ranije (letos, proletos) i, uvek sam bila prezadovoljna. i danas smo koleginica i ja porucile pizze - posnu i susam pizzu. fantazija ukusa. i sto nas je posebno odusevilo. rekli su da ce biti isporucene za 50 min., a stigle su za fantasticnih 25 min. i to, umotane u cebe, tople....................	0
utorak - tradicija :) odlicna pica, madjarica - utorkom na akciji, tako da je i cena odlicna. usluga super. sve preporuke.	1
. prosecno i dugo vreme dostave (90min)	0
odlicne bolonjeze stigle za pola sata, tople, i ukusne...	1
